,Company,Role,Location,Date
204,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
205,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
206,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
207,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
208,Genpact,Senior Analyst - Data Science-ANA003054,"Bengaluru, Karnataka, India",5 days ago
209,Ai Palette,Data Analyst,"Bengaluru, Karnataka, India",1 month ago
210,Genpact,Senior Associate - Analyst - Consumer Insights-CPG024553,"Bengaluru, Karnataka, India",3 months ago
211,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",1 week ago
212,twid,Data Analyst,"Bengaluru, Karnataka, India",1 week ago
213,Genpact,Assistant Manager - Data-ANA009534,"Bengaluru, Karnataka, India",2 weeks ago
214,Fi,Data Operations,"Bengaluru, Karnataka, India",6 months ago
215,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",2 weeks ago
216,Genpact,Business Analyst - Business Insight-CPG018111,"Bengaluru, Karnataka, India",1 week ago
217,Genpact,Senior Consultant - Data Analytics-CPG045136,"Bengaluru, Karnataka, India",2 months ago
218,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",1 week ago
219,Genpact,"Manager, Business Analyst - Data-ANA009533","Bengaluru, Karnataka, India",2 weeks ago
220,Genpact,Lead Consultant - Jr Python Developer - Data Engineering - Bangalore-ITO071023,"Bengaluru, Karnataka, India",4 days ago
221,Thomson Reuters,Data Analyst,"Bengaluru, Karnataka, India",2 weeks ago
222,Genpact,Business Analyst - Data Analyst-ANA008094,"Bengaluru, Karnataka, India",2 weeks ago
223,Genpact,Business Analyst - Data Analyst-ANA007931,"Bengaluru, Karnataka, India",5 days ago
224,Jupiter,Data Analyst III,"Bengaluru, Karnataka, India",3 days ago
225,Novo,Staff Data Analyst,"Bengaluru, Karnataka, India",2 days ago
226,Awign,Data Analyst,"Bengaluru North, Karnataka, India",6 months ago
227,Genpact,Consultant - Data Analytics-CPG045149,"Bengaluru, Karnataka, India",1 week ago
228,Genpact,Lead Consultant - Data Analyst-ITO071171,"Bengaluru, Karnataka, India",5 days ago
229,Genpact,Business Analyst - Data Science-ANA003055,"Bengaluru, Karnataka, India",1 week ago
230,Genpact,Analyst - MCM & Digital. Analytics-ANA009609,"Bengaluru, Karnataka, India",1 day ago
231,Genpact,Business Analyst - Data Science-ANA003052,"Bengaluru, Karnataka, India",2 weeks ago
232,Genpact,Senior Analyst - Data Science-ANA003054,"Bengaluru, Karnataka, India",5 days ago
233,Genpact,Senior Associate - Analyst - Consumer Insights-CPG024553,"Bengaluru, Karnataka, India",3 months ago
234,Onx Homes,ZOHO Data Analyst,"Bengaluru, Karnataka, India",1 week ago
235,Genpact,Assistant Manager - Data-ANA009534,"Bengaluru, Karnataka, India",2 weeks ago
236,Fi,Data Operations,"Bengaluru, Karnataka, India",6 months ago
237,Sizzle,Data Annotation Analyst,"Bengaluru North, Karnataka, India",2 weeks ago
238,Genpact,Business Analyst - Business Insight-CPG018111,"Bengaluru, Karnataka, India",1 week ago
239,Genpact,Senior Consultant - Data Analytics-CPG045136,"Bengaluru, Karnataka, India",2 months ago
240,"Arena Investors, LP",SQL Developer - Technology,"Bengaluru, Karnataka, India",1 week ago
241,Genpact,"Manager, Business Analyst - Data-ANA009533","Bengaluru, Karnataka, India",2 weeks ago
242,Genpact,Lead Consultant - Jr Python Developer - Data Engineering - Bangalore-ITO071023,"Bengaluru, Karnataka, India",4 days ago
243,Teamfocus Human Capital Pvt Ltd.,Data & Analytics Lead,"Bangalore Urban, Karnataka, India",1 day ago
244,Genpact,Consultant - Data Warehouse Developer-ITO073526,"Bengaluru, Karnataka, India",1 week ago
